size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating
30367744,2.99,1583,2,4.5,12,Lifestyle,37,5,1,1,3.5
93420544,0,113936,150,5,4,Food & Drink,37,1,6,1,4.5
31505408,4.99,2027,2,5,4,Entertainment,37,5,33,1,4
25997312,3.99,768,4,4,4,Education,37,3,3,1,4
182054912,0,373835,402,4.5,4,Health & Fitness,37,3,1,1,4
138754048,0,108131,13,2,4,Shopping,37,0,1,1,3
13564835,0.99,18943,1787,4.5,4,Games,47,0,1,1,3.5
133688320,0,126312,22,3,4,Shopping,37,5,8,1,3.5
55205888,4.99,35735,378,4.5,4,Games,40,0,0,1,4
46922752,4.99,410,7,2.5,4,Utilities,37,5,1,1,3
63283200,12.99,1390,143,5,4,Music,37,5,33,1,4.5
53426176,0,38,2,5,4,Music,37,5,4,1,3.5
39505920,0,233270,14625,4.5,4,Finance,37,0,2,1,4.5
210088960,21.99,64,0,0,4,Reference,37,5,2,1,4.5
36399104,0,109349,1540,5,12,Food & Drink,37,5,1,1,3.5
115143680,0,2229,4,1,17,News,37,0,1,1,3.5
56481792,1.99,14970,24,4.5,4,Navigation,37,0,1,1,3.5
181941248,0,144214,2162,4,4,Weather,37,1,43,1,3.5
162891776,0,232940,683,4.5,4,Finance,37,5,1,1,4
98108416,0,48407,20,3.5,12,News,37,0,1,0,3
54088704,0.99,5531,37,2.5,4,Utilities,40,3,13,1,3.5
50155520,1.99,3393,77,4,4,Education,43,5,1,1,4
23936000,0,65016,274,5,4,Utilities,38,4,17,1,3.5
145293312,0.99,187529,1071,4,9,Entertainment,43,5,1,1,4
140367872,0,33969,466,5,4,Health & Fitness,37,0,17,1,3.5
281244672,0,48822,193,4,4,Finance,37,0,1,1,3.5
66695168,1.99,59155,101,2.5,4,Games,40,5,1,1,4.5
169747456,0,252076,80,4.5,4,Book,37,5,9,1,3.5
41691136,1.99,4913,1,4,9,Games,37,3,15,1,4
122886144,0,1744,0,0,4,Finance,37,0,1,1,3.5
55803904,0.99,16567,1155,4.5,4,Games,43,4,1,1,4.5
188956672,0,187315,9,4,17,Games,37,5,9,1,2
22185984,2.99,4781,1,5,4,Music,37,5,10,1,4.5
66160640,3.99,94,4,4.5,4,Games,37,0,1,1,4.5
28135424,0.99,29554,55,5,4,Photo & Video,37,0,3,1,4
27962441,0.99,32988,2489,4,12,Games,47,5,1,1,4
133238784,0,373519,127,4,4,Social Networking,37,0,32,1,3.5
151573504,0,334293,919,4,17,Social Networking,37,5,16,1,4
27069440,1.99,2302,3,5,4,Photo & Video,37,5,1,1,3.5
101259264,0,60659,57,2.5,17,Social Networking,37,5,10,1,3
168192000,2.99,2562,10,4.5,4,Games,37,5,4,1,4
17485824,4.99,3042,6,4,4,Finance,37,5,11,1,3.5
5234688,0.99,338,12,2,4,Weather,43,0,1,1,2.5
237913088,2.99,16434,3,4.5,4,Health & Fitness,37,0,9,1,4.5
233513984,2.99,10046,7,5,4,Health & Fitness,37,0,9,1,4.5
110420992,0,29107,85,4,12,News,37,5,10,1,3
47774720,1.99,878,48,4.5,17,Games,38,5,1,1,4
22259712,0.99,1140,20,3.5,4,Games,37,4,1,1,3.5
431771648,2.99,35074,403,4,4,Games,43,0,6,1,4.5
120357888,0,59639,11,2.5,17,Sports,37,4,1,1,3
90828800,4.99,2913,357,5,4,Health & Fitness,43,5,1,1,4
30796800,0,39722,0,0,4,Photo & Video,37,5,1,1,3
151397376,0,81006,25,3,4,Entertainment,37,0,1,1,3.5
46880768,0,53465,204,4,4,Games,37,5,1,1,3.5
48741376,0.99,395261,88,4.5,4,Games,37,0,1,1,4.5
17145856,1.99,2021,147,4.5,4,Utilities,37,4,12,1,4.5
25808896,0,182,0,0,17,Entertainment,37,5,3,1,3
81924096,0,291787,589,5,4,Entertainment,37,4,1,1,4
19451904,1.99,2441,4,5,17,Utilities,38,4,12,1,4
118683648,0.99,1372,25,4,12,Games,37,2,1,1,4
723764224,249.99,773,10,3.5,4,Education,37,5,3,1,4
111275008,0,200047,177,4,4,Reference,37,0,1,1,4
109616128,0,112,0,0,12,News,37,5,17,1,3.5
120725504,0,148160,63,3.5,4,Sports,37,5,1,1,4.5
68491264,0,108507,628,3,4,Utilities,37,5,2,1,3
122153984,0,46,0,0,4,Entertainment,37,5,1,1,3
122315776,0,51427,874,5,4,Photo & Video,37,5,1,1,4
17010688,0.99,53821,165,4,12,Games,43,1,1,0,3.5
3691520,0,38681,563,4.5,4,Business,37,3,28,1,4
31387648,0.99,17776,6,5,4,Games,37,0,11,1,4
135044096,0,287589,73088,4.5,4,Social Networking,12,0,35,1,4.5
55815168,2.99,7308,15,4.5,4,Productivity,37,5,30,1,4
132632576,0,342969,88478,4.5,4,Lifestyle,37,5,1,1,4.5
270729216,4.99,6093,3,5,4,Games,37,5,7,1,4
39827456,4.99,5452,39,4.5,9,Games,38,5,1,1,4.5
57328640,0,43064,216,2.5,4,Finance,37,0,2,1,3
40717312,0,64,9,5,4,Music,37,5,14,1,4.5
141136896,0,220,2,5,4,Productivity,37,5,13,1,4.5
146228224,0,114096,2157,4,4,Games,37,5,3,1,4.5
52294656,9.99,1296,4,5,4,Productivity,37,4,13,1,4
16332800,2.99,1293,31,5,4,Travel,37,5,11,1,4
164382720,0,19946,13,2.5,4,Finance,37,5,1,1,4
45712384,0,88613,392,4.5,4,Entertainment,37,5,1,1,4
16086016,0.99,107727,55,4.5,4,Games,37,3,1,1,3.5
223805440,0.99,21416,974,4.5,4,Games,43,0,5,1,4.5
22159360,2.99,533,27,4,4,Games,37,3,9,1,4
20542280,2.99,32650,754,3.5,12,Music,43,1,1,1,3.5
130637824,0,164963,69,4,4,Social Networking,37,5,3,1,3.5
8900608,1.99,141,15,3,4,Weather,40,0,1,1,3
180500480,0,80424,46,4.5,4,Shopping,37,5,2,1,4
19853312,0.99,17190,180,4.5,4,Games,40,0,1,1,4
42926080,0.99,7973,127,5,4,Games,40,5,15,1,4
36692992,2.99,19621,1191,4.5,4,Games,37,5,1,1,4
36647936,3.99,7315,138,4.5,4,Games,37,5,6,1,4
91697152,0,118,0,0,12,News,37,5,1,1,3
51538944,0,290996,150,3.5,4,Sports,37,5,2,1,3.5
8302592,3.99,2785,90,4,4,Travel,37,5,26,1,4
430128128,6.99,54408,65,2,12,Games,37,5,8,1,3.5
69960704,9.99,8138,107,4.5,4,Games,37,5,13,1,4
767126,0,123190,68841,3,4,Education,47,0,1,1,3
12996628,0.99,23810,582,4,12,Games,45,0,1,1,3.5
139545600,0,54192,32,2,4,Sports,37,0,1,1,4
130394112,0,20953,481,4,4,Sports,37,5,1,1,4
101925888,9.99,71609,99,4,12,Music,37,4,14,1,4.5
52951040,0,32881,7,2,12,News,37,5,1,1,3.5
80409600,0,23201,14,2,17,Social Networking,37,5,5,1,2.5
137312256,0,17906,4,3,4,Shopping,37,5,1,1,3
144412672,74.99,927,3,2.5,4,Navigation,37,2,21,1,3.5
27746273,1.99,18920,3014,4.5,9,Games,47,0,1,1,3.5
119648256,0.99,30,0,0,4,Finance,37,0,3,1,3
119574528,0,77,1,4,4,Finance,37,0,3,1,3
79315968,0,104539,11,4.5,4,Health & Fitness,37,5,13,1,4.5
12818432,0.99,4016,1,5,12,Photo & Video,37,5,1,1,4
18165760,1.99,299,28,4.5,4,Food & Drink,38,0,1,1,4
253834240,1.99,5758,9,3,12,Games,40,0,1,1,4
69083136,0,5565,140,4.5,9,Games,37,5,17,1,4.5
8573952,0.99,213092,51,4.5,9,Games,37,3,1,1,3.5
127284224,0,150158,3392,5,4,Weather,37,2,8,1,4.5
81374398,4.99,6046,446,4,12,Games,47,0,1,1,4
94139392,0,345046,3040,4.5,4,Navigation,37,5,36,1,4.5
13216994,0.99,35930,262,4,12,Games,43,0,1,1,3.5
21010210,0.99,22557,526,4,4,Games,47,0,1,1,4
35998720,0.99,292,1,5,17,Sports,37,1,1,1,3
132510720,0,878563,8253,4.5,12,Music,37,5,18,1,4.5
37001216,0,22,0,0,4,Food & Drink,37,0,30,1,3.5
64147456,0,10472,58,2,17,Sports,37,5,1,0,3.5
100779008,0,115,70,5,17,News,37,4,1,0,4
123718656,1.99,13915,205,5,4,Weather,37,2,8,1,4.5
126312448,1.99,6780,68,4.5,9,Games,38,0,5,1,4
79882240,7.99,1701,35,4.5,4,Productivity,37,5,21,1,4
6418432,1.99,6,0,0,4,Health & Fitness,37,0,8,1,3.5
74093568,0,19,0,0,4,Utilities,37,5,1,1,3
12937216,4.99,3483,79,5,4,Medical,37,0,14,1,4.5
53388288,0,2838,26,2.5,4,Photo & Video,37,5,12,1,3
118498304,0,117889,725,4.5,4,Entertainment,38,1,1,1,3
103197675,0.99,50710,309,4,9,Games,45,0,1,1,3.5
24574976,2.99,3960,0,0,4,Weather,37,0,1,1,4.5
96093184,0,24258,305,2.5,4,Entertainment,37,0,1,1,3
77700096,0,37522,39,3,4,Sports,37,4,1,1,4
180804608,0,49578,16,3,4,Productivity,37,5,20,1,3.5
56397824,0.99,626,44,5,4,Entertainment,38,5,2,1,4
229272576,1.99,9286,49,3.5,4,Games,38,5,1,1,4
131000320,0,190670,19,2.5,17,Sports,37,3,45,1,3.5
53097472,19.99,2429,8,3.5,4,Navigation,37,5,16,1,4.5
3375104,3.99,0,0,0,4,Finance,37,5,3,1,0
108166144,0,12811,134,1.5,4,Navigation,37,0,22,1,3.5
89187328,1.99,32338,261,4.5,4,Photo & Video,37,0,10,1,4
13647872,4.99,262,43,4,12,Games,40,5,1,1,4
123544576,0.99,9657,47,4.5,4,Games,38,0,12,1,4.5
1608704,2.99,18332,1007,5,4,Games,37,5,2,1,4.5
50169856,0,53620,2872,5,12,Health & Fitness,38,0,15,1,4
101181440,0.99,38533,36,3.5,4,Photo & Video,37,4,11,1,2.5
15329280,0.99,40,0,0,4,Food & Drink,37,4,7,1,3.5
31845376,1.99,472,0,0,4,Games,37,5,1,1,4
135032832,0,303856,7027,4.5,4,Food & Drink,37,0,2,1,4.5
54648832,0,2070,0,0,4,Sports,37,0,1,1,2.5
8432232,2.99,7941,76,3.5,4,Games,47,0,1,1,4
230720512,0,136833,64,4.5,12,Health & Fitness,37,5,6,1,3.5
80211968,0,112886,298,1.5,12,News,37,1,1,1,3.5
148201472,0,26353,3,2.5,4,Shopping,37,5,2,1,3.5
20795392,0,171055,31,3.5,12,Entertainment,38,1,1,1,3
27934720,2.99,4540,140,4.5,9,Games,43,5,15,1,4
208309248,0,1926,2,3,4,Lifestyle,38,5,3,1,3
33812480,3.99,14345,100,2.5,12,News,37,0,1,1,4
20298752,4.99,1340,288,5,4,Lifestyle,38,0,1,1,4.5
101346304,3.99,31912,154,5,4,Business,37,5,9,1,4.5
210569216,0,354058,452,4,17,News,37,2,33,1,3.5
110198784,0,248,0,0,4,Travel,37,4,1,1,4
78047232,0,11691,44,4.5,12,News,37,5,1,1,3.5
9946112,1.99,381,6,2,12,Entertainment,38,0,1,1,3
44652544,0,18884,451,4.5,9,Entertainment,37,0,1,1,4
30369792,2.99,7410,82,4.5,9,Reference,37,5,1,1,4
376171520,1.99,15175,308,4,4,Games,38,0,6,1,4
96815104,0.99,3166,34,4.5,4,Business,37,5,5,1,4
169138176,0,88885,333,4,12,Shopping,37,5,1,1,4.5
364490752,9.99,882,85,5,12,Games,43,5,1,1,5
44135424,3.99,1729,599,4.5,17,Lifestyle,37,5,3,1,4
112074752,0,43682,19,2.5,4,Sports,37,5,1,1,3.5
98942976,0.99,861,70,2.5,4,Entertainment,40,4,1,1,2
77686784,0,7469,68,5,12,Health & Fitness,37,0,2,1,3.5
94496768,0,4186,6,4.5,4,Shopping,37,0,1,1,3.5
204959744,0,4885,0,0,12,Entertainment,38,0,2,1,3.5
32796672,4.99,3970,509,4,17,Games,40,3,5,1,4
105009152,0,135744,594,4.5,4,Music,37,4,7,1,4
22562816,0,18841,0,0,4,Social Networking,38,2,29,1,4
52632576,3.99,1438,171,4,4,Navigation,37,3,10,1,4
151388160,0,10298,7,3.5,4,Health & Fitness,37,0,15,1,4.5
47323136,0.99,1842,23,2.5,4,Productivity,38,1,1,1,3.5
59846656,1.99,2548,5,4,4,Education,37,5,1,1,4
27807744,0.99,319,12,5,12,Games,38,5,5,1,3
60976128,0,34507,38,5,12,Shopping,37,0,1,1,3.5
194386944,0.99,26482,331,2.5,4,Games,37,0,6,1,3.5
49470464,0,273,0,0,12,News,37,5,1,1,3
147118080,2.99,8331,24,3.5,12,Music,37,3,15,1,4
125411328,0.99,17023,916,4.5,4,Games,40,0,1,1,4
63316992,4.99,1101,8,4,4,Games,38,5,1,1,4
15313920,0.99,1193,1,2,17,Games,40,5,1,1,4
69816320,0,35,0,0,17,Sports,37,3,1,1,2.5
32848910,1.99,4088,436,4.5,4,Games,47,4,1,1,4
52821364,4.99,63943,31264,4,17,Games,47,0,1,1,4
146507776,0,70286,51,4,4,Shopping,37,0,1,1,3
24747008,0,1150,0,0,4,Business,37,5,19,1,2.5
89517056,0,54630,280,4.5,4,Shopping,37,4,1,1,2.5
40722432,0,98777,233,4,4,Entertainment,37,2,12,1,3
73332736,0.99,649,11,4,4,Photo & Video,37,5,1,1,4
83906560,0,60236,58,4.5,12,Entertainment,37,0,1,1,3
76644352,0,115,0,0,4,Food & Drink,37,5,1,1,3.5
37340259,0.99,26732,1428,4.5,17,Games,43,0,1,1,4
26137600,1.99,2722,1,5,4,Shopping,37,0,1,1,4.5
107816960,0,11013,76,5,4,Shopping,37,0,1,1,3.5
152700928,0,507706,181,4.5,4,Health & Fitness,37,5,19,1,4.5
112024576,0,397,0,0,4,Travel,37,0,16,1,4.5
35864576,9.99,196,3,5,4,Productivity,38,5,2,1,4
49594368,3.99,24553,2620,4.5,9,News,38,5,26,1,4
114081792,2.99,12557,6,5,4,Photo & Video,37,5,15,1,3.5
91267072,0,26227,7,4.5,9,Music,37,4,14,1,4
8821760,4.99,28388,7009,5,4,Business,38,5,9,1,5
69513216,2.99,282,1,5,4,Health & Fitness,38,4,1,1,4
7767040,0.99,19296,7,4,4,Games,37,3,1,1,4
88702976,0,183425,4724,5,12,Entertainment,37,5,10,1,4.5
175966208,0,824451,107,3,4,Games,38,0,10,1,4.5
84791296,0,512,6,5,4,Travel,38,0,2,1,3.5
27997184,2.99,315,0,0,4,Lifestyle,37,0,31,1,3.5
131463168,0,268,0,0,4,Travel,37,5,6,1,3.5
5415000,1.99,438,295,4.5,4,Games,45,0,1,1,4.5
126867456,0,187,0,0,4,Navigation,37,5,3,1,3.5
878883840,4.99,15142,73,4,17,Games,38,5,6,1,4
88773632,0,30552,18,2.5,4,Travel,37,0,1,1,3
812758016,2.99,9744,42,3,12,Games,37,4,6,1,3.5
28616704,0,13482,2517,4.5,4,Education,38,5,8,1,4.5
7111680,0,17516,125,5,4,Finance,37,5,1,1,3.5
34056767,0,186653,226,3.5,4,Games,43,0,1,1,3.5
21450752,0.99,10031,142,5,4,Entertainment,43,0,1,1,4
97879040,0,81,0,0,4,Entertainment,37,5,1,1,3
22299021,0.99,9854,823,4,4,Games,47,0,1,1,4
10231808,2.99,1093,106,4.5,9,Travel,38,0,1,1,4
132480000,2.99,4475,95,4.5,4,Health & Fitness,37,5,2,1,4.5
47182848,2.99,9405,1089,4.5,4,Games,37,5,1,1,4
100048896,1.99,2417,1366,4.5,4,Health & Fitness,38,2,1,1,4.5
174839808,0.99,2923,300,4.5,4,Business,37,0,7,1,4.5
13725696,2.99,8657,1468,4,9,Entertainment,38,4,1,1,3.5
11369472,0.99,70,1,1,4,Photo & Video,37,4,5,1,2
155857920,0,162,32,5,17,News,37,5,2,1,4
38718464,0.99,5,0,0,4,Lifestyle,40,0,2,1,4
17879270,0.99,12354,1428,4.5,12,Games,47,0,1,1,4
96635904,0,269,0,0,12,Social Networking,37,0,1,1,3
8039424,3.99,0,0,0,9,Book,37,5,1,1,0
105379840,0.99,426463,680,4,9,Games,38,0,5,1,5
199585792,0,7265,11,4,17,Social Networking,37,5,2,1,3.5
244516864,0,844,1,1,17,Lifestyle,37,5,2,1,4
123450368,0,101,1,5,12,Entertainment,37,5,1,1,4
157625344,0,34428,23,4,17,Social Networking,37,4,30,1,4.5
75612160,1.99,36946,152,4,4,Games,38,5,3,1,4.5
68153344,0,21090,1325,5,4,Finance,37,4,1,1,4.5
84469760,2.99,653,8,4.5,12,Games,37,1,31,1,4.5
100368384,3.99,1118,29,5,4,Education,37,5,29,1,4.5
7344128,1.99,348,33,4,4,Productivity,40,0,1,0,4
25097281,1.99,207,50,3,9,Utilities,40,0,34,1,3.5
43439104,0,5000,23,4.5,12,Health & Fitness,37,5,10,1,4.5
83851264,3.99,15188,272,4,12,Health & Fitness,37,0,2,1,4.5
118980608,0,18572,307,4.5,12,News,37,3,1,1,4.5
76394496,4.99,6403,491,4.5,4,Games,43,5,1,1,4.5
127382528,0,417779,914,4.5,12,Shopping,37,4,10,1,4.5
48819200,4.99,9,1,5,12,Education,38,5,5,1,5
30977024,0.99,107,0,0,4,Entertainment,37,5,1,1,2.5
8073209,1.99,72,72,2,4,Lifestyle,47,0,1,1,2
15676416,2.99,2044,10,3,9,Games,37,5,1,1,3.5
81876992,0,16683,21,2.5,4,Sports,37,5,2,1,3.5
48700821,0.99,1455,1450,3,12,Games,47,0,1,1,3
581353472,4.99,15056,751,4,17,Games,40,0,3,1,4
9906176,0.99,249,5,4.5,4,Photo & Video,37,0,1,1,4.5
114843648,7.99,6091,75,3.5,9,Games,38,3,8,1,4
199450624,7.99,2754,55,2.5,9,Games,38,5,6,1,4
529755136,4.99,9870,12,4.5,12,Games,40,5,1,1,4.5
70516736,0,82602,13,4.5,9,Music,37,5,23,1,4
147066880,7.99,0,0,0,4,Travel,40,5,1,1,0
90241024,1.99,762,5,5,4,Education,37,5,1,1,4
174268416,1.99,160,2,3,4,Education,37,5,1,1,4
187040768,0,9,0,0,17,Shopping,37,0,1,1,3
151864320,0,260965,228,3,12,Social Networking,37,0,14,0,4
4466688,1.99,2305,100,5,4,Photo & Video,37,5,4,1,4
35478528,4.99,137,21,5,4,Travel,37,3,10,1,4
31869952,0,11999,233,4.5,4,Entertainment,37,4,1,1,4
21771264,1.99,1995,148,4.5,12,Photo & Video,38,5,14,1,4.5
103049216,2.99,35045,250,4.5,4,Music,37,0,6,1,4.5
40586240,0.99,343,15,4.5,4,Entertainment,38,0,30,1,4
220397568,1.99,1824,113,4,4,Entertainment,24,5,22,1,4
69057536,0,39642,492,4,4,Sports,37,5,1,1,4
101943296,0,679055,9673,4.5,4,Games,38,4,11,1,4.5
122235904,9.99,17594,143,4,4,Productivity,37,5,14,1,4
151954432,1.99,3531,177,4.5,4,Games,38,5,1,1,4
138047488,3.99,1080,5,2.5,4,Education,37,5,1,1,3.5
105982976,0,11421,57,2.5,4,Finance,37,4,1,1,4
104590336,1.99,698516,132,4,4,Games,38,5,13,1,4.5
32051200,3.99,4497,448,4,12,Entertainment,24,5,1,1,4
225859584,0.99,163598,503,4,9,Games,24,5,5,1,5
229992448,9.99,39678,114,3.5,4,Games,24,5,6,1,3.5
32604160,8.99,1809,52,3.5,4,Productivity,24,5,1,1,4.5
22948864,4.99,624,20,3.5,4,Navigation,37,1,1,1,3.5
35422208,2.99,3761,596,4.5,4,Photo & Video,40,5,1,1,4.5
32083968,3.99,353,8,3.5,12,Weather,24,5,1,1,4
150221824,4.99,6503,60,5,4,Education,24,5,12,1,4.5
30270464,0.99,71,3,4.5,4,Games,37,2,4,1,3
125016064,0,308844,139,3,4,Entertainment,37,5,20,1,3.5
35717120,9.99,3909,36,5,4,Music,24,5,14,1,4.5
31955968,2.99,308,0,0,12,Utilities,40,5,7,1,4.5
44099584,9.99,11156,8,2.5,4,Productivity,24,5,1,1,4.5
34310144,4.99,8542,543,5,4,Photo & Video,26,5,1,1,4.5
35602607,4.99,5853,3860,4,17,Games,26,4,1,1,3.5
234123264,1.99,1506,198,4.5,9,Games,26,5,6,1,4
133874688,0,1649,1,5,4,Social Networking,37,0,3,1,3.5
85724160,0,78890,449,3.5,12,Entertainment,37,5,1,0,3
219693056,3.99,2147,23,5,9,Games,24,5,1,1,4
176164864,0,89110,114,4,4,Games,24,5,10,1,4.5
59101184,0,208648,25664,4.5,4,Weather,24,4,1,1,4
10907191,1.99,856,38,3.5,12,Entertainment,26,3,1,1,2.5
4177920,3.99,7825,828,4.5,4,Productivity,43,5,1,1,4.5
62978048,9.99,7033,119,4.5,4,Business,37,5,11,1,4
66138112,1.99,4255,209,2,4,Reference,38,5,1,1,4
68073472,5.99,3230,5,4,4,Utilities,37,5,7,1,4.5
165748736,0,54175,10176,4.5,4,Reference,24,5,9,1,4.5
33857536,4.99,308,8,4.5,4,Education,24,5,1,1,4
22763520,0.99,2602,71,4.5,9,Games,37,4,1,1,3
107259904,0,29110,324,4.5,17,Productivity,37,5,9,1,4.5
73224192,1.99,273,8,4.5,4,Reference,26,5,1,1,3.5
45182976,0,15654,24,4.5,4,Photo & Video,37,5,2,1,4.5
16292864,0,189,0,0,12,Entertainment,37,1,9,1,2.5
24851456,0.99,829,16,4.5,4,Navigation,24,0,7,1,4.5
58463232,8.99,663,5,4,4,Photo & Video,37,5,1,1,5
71002112,0,359832,17119,5,4,Games,40,5,7,1,4.5
112609280,0,9011,49,4,4,Entertainment,37,5,6,1,3.5
149536768,4.99,17667,14,4,4,Health & Fitness,37,0,15,1,4.5
39844864,0,65450,2721,4.5,4,Book,37,5,18,1,4
105609216,0,31261,374,4.5,4,Travel,37,5,40,1,4.5
14160896,0.99,9885,10,4,4,Games,40,0,1,1,4
112515072,0,11091,415,4.5,4,Entertainment,37,0,6,1,3
64705536,0,132703,394,3,4,News,37,5,1,0,4
37161984,4.99,286,25,5,4,Travel,24,5,1,0,2.5
54776832,0,12683,108,4,12,Utilities,38,0,29,1,4
283852800,0,49466,150,2,4,Travel,37,4,41,1,3
101923840,0,168,0,0,4,Productivity,37,5,2,1,4
40479744,6.99,114,0,0,17,Book,24,5,3,1,4
10612736,2.99,2798,357,4.5,4,Weather,24,5,1,1,4.5
94592000,0,62,0,0,4,Entertainment,37,5,1,1,3.5
33213440,9.99,1756,53,5,4,Business,37,4,5,1,4
37140480,3.99,511,57,4.5,4,Health & Fitness,37,5,1,1,4.5
144180224,0.99,2609,9,4.5,17,Games,40,5,1,1,3.5
7689537,0,354,215,1,4,Social Networking,43,0,1,1,1.5
119812096,0,1750,19,5,17,Utilities,38,0,1,1,3.5
25137152,1.99,1121,209,4.5,9,Games,43,5,1,1,4.5
65074176,0,339,7,4.5,4,Sports,38,0,1,1,4.5
34950144,0,34322,3167,4.5,4,Finance,24,5,1,1,4.5
19054592,1.99,162,17,4.5,4,Productivity,38,3,3,1,4.5
83575808,0,8,1,1,4,Utilities,37,3,1,1,3
14602240,2.99,4386,444,4.5,4,Education,43,5,1,1,4.5
61595648,4.99,5397,476,5,4,Games,40,5,7,1,5
134848512,0,75412,66,4.5,17,Social Networking,37,5,18,1,4.5
133956608,0,97072,143,3.5,17,Social Networking,37,0,18,1,4
17613824,0,9142,22,4,12,Health & Fitness,26,5,1,1,3.5
35975168,1.99,1957,958,4.5,4,Games,40,5,1,1,4.5
127020032,4.99,2944,40,4.5,17,Entertainment,24,5,29,1,4
27962368,1.99,588,54,4,4,Photo & Video,37,0,14,1,4
14824448,1.99,40552,238,4.5,4,Games,40,3,1,1,4.5
83899392,0.99,1267,0,0,4,Finance,38,0,3,1,4.5
19371008,24.99,753,12,4.5,4,Education,37,5,1,1,4
59475968,2.99,725,26,4.5,4,Weather,24,5,13,1,4
80203776,3.99,45,12,4.5,12,Education,38,5,1,1,4.5
227403527,0.99,14910,1003,4.5,12,Games,45,5,1,1,4
75254654,2.99,3064,1428,3.5,9,Games,47,0,1,1,3.5
23879680,0,12074,43,1.5,17,News,24,5,1,1,2.5
4893696,4.99,336,2,3,4,Productivity,37,5,1,1,4
109620224,9.99,6257,15,4,4,Productivity,37,5,11,1,4
